mode,epoch,global step,loss,accuracy,mean_length
validation,0,0,2.428,12.52,61.3902
train,0,32,2.126,13.0859,63.0586
train,0,64,2.0822,13.2812,64
train,0,96,2.08,14.0625,64
train,0,128,2.0902,11.8164,64
train,0,160,2.0849,13.4766,64
train,0,192,2.0805,12.6953,64
train,0,224,2.0831,12.1094,64
train,0,256,2.0769,13.4766,64
train,0,288,2.0805,13.8672,64
train,0,320,2.0811,11.7188,64
train,0,352,2.0752,13.6719,64
train,0,384,2.0812,12.793,64
train,0,416,2.0824,13.3789,64
train,0,448,2.0804,13.2812,64
train,0,480,2.0799,12.3047,64
train,0,512,2.0854,12.1094,64
validation,0,512,2.0803,12.46,64
train,0,544,2.0805,13.1836,64
train,0,576,2.0788,12.0117,64
train,0,608,2.083,12.1094,64
train,0,640,2.0782,14.1602,64
train,0,672,2.0804,12.4023,64
train,0,704,2.0799,13.1836,64
train,0,736,2.0808,12.207,64
train,0,768,2.0808,12.0117,64
train,0,800,2.0809,11.6211,64
train,0,832,2.081,13.1836,64
train,0,864,2.0789,12.8906,64
train,0,896,2.0796,12.207,64
train,0,928,2.0785,13.2812,64
train,0,960,2.079,13.3789,64
train,0,992,2.08,13.6719,64
train,0,1024,2.0801,13.7695,64
validation,0,1024,2.0801,12.32,64
train,0,1056,2.0811,10.9375,64
train,0,1088,2.0805,12.0117,64
train,0,1120,2.081,13.3789,64
train,0,1152,2.0788,13.4766,64
train,0,1184,2.0802,12.1094,64
train,0,1216,2.0785,13.1836,64
train,0,1248,2.0987,10.9375,64
train,0,1280,2.0829,12.207,64
train,0,1312,2.0802,12.793,64
train,0,1344,2.0791,12.4023,64
train,0,1376,2.0803,12.3047,64
train,0,1408,2.0799,11.9141,64
train,0,1440,2.0762,11.2305,64
train,0,1472,2.058,12.793,64
train,0,1504,2.0846,10.6445,64
train,0,1536,2.0794,11.9141,64
validation,0,1536,2.0799,12.12,64
train,0,1568,2.0802,12.1094,64
train,0,1600,2.08,13.1836,64
train,0,1632,2.0801,11.7188,64
train,0,1664,2.0802,11.7188,64
train,0,1696,2.0796,12.5,64
train,0,1728,2.0822,9.1797,64
train,0,1760,2.0798,12.5977,64
train,0,1792,2.0795,12.4023,64
train,0,1824,2.0814,11.0352,64
train,0,1856,2.0815,11.8164,64
train,0,1888,2.0799,12.9883,64
train,0,1920,2.0809,12.6953,64
train,0,1952,2.0801,11.5234,64
train,0,1984,2.0798,11.4258,64
train,0,2016,2.0794,11.7188,64
train,0,2048,2.0801,12.0117,64
validation,0,2048,2.08,12.18,64
train,0,2080,2.0805,12.4023,64
train,0,2112,2.0792,12.4023,64
train,0,2144,2.0804,11.9141,64
train,0,2176,2.0801,12.9883,64
train,0,2208,2.0794,12.207,64
train,0,2240,2.0816,8.9844,64
train,0,2272,2.0796,14.5508,64
train,0,2304,2.0808,11.3281,64
train,0,2336,2.0792,12.9883,64
train,0,2368,2.0802,12.5977,64
train,0,2400,2.0783,13.1836,64
train,0,2432,2.08,11.4258,64
train,0,2464,2.0792,12.8906,64
train,0,2496,2.0805,12.0117,64
train,0,2528,2.0805,12.6953,64
train,0,2560,2.0802,11.6211,64
validation,0,2560,2.0796,11.9,64
train,0,2592,2.0795,12.5977,64
train,0,2624,2.0798,12.1094,64
train,0,2656,2.0806,10.6445,64
train,0,2688,2.0795,11.6211,64
train,0,2720,2.08,12.0117,64
train,0,2752,2.0791,13.2812,64
train,0,2784,2.0803,13.0859,64
train,0,2816,2.0799,12.3047,64
train,0,2848,2.0796,13.1836,64
train,0,2880,2.079,12.207,64
train,0,2912,2.08,11.7188,64
train,0,2944,2.0799,12.207,64
train,0,2976,2.0796,12.8906,64
train,0,3008,2.0794,13.3789,64
train,0,3040,2.0796,13.0859,64
train,0,3072,2.0809,10.9375,64
validation,0,3072,2.0797,11.84,64
train,0,3104,2.0796,12.207,64
train,0,3136,2.0793,13.1836,64
train,0,3168,2.0796,11.2305,64
train,0,3200,2.08,11.5234,64
train,1,3232,2.0788,12.9883,64
train,1,3264,2.0794,11.8164,64
train,1,3296,2.0785,12.6953,64
train,1,3328,2.0792,14.2578,64
train,1,3360,2.079,13.6719,64
train,1,3392,2.0797,11.8164,64
train,1,3424,2.0799,12.4023,64
train,1,3456,2.0791,12.207,64
train,1,3488,2.08,12.0117,64
train,1,3520,2.0812,9.375,64
train,1,3552,2.0795,12.3047,64
train,1,3584,2.0786,12.4023,64
validation,1,3584,2.0796,12.84,64
train,1,3616,2.0795,13.0859,64
train,1,3648,2.0795,11.3281,64
train,1,3680,2.0798,10.9375,64
train,1,3712,2.0798,11.8164,64
train,1,3744,2.08,11.3281,64
train,1,3776,2.0788,13.3789,64
train,1,3808,2.0799,11.1328,64
train,1,3840,2.0794,13.0859,64
train,1,3872,2.08,12.9883,64
train,1,3904,2.0809,12.1094,64
train,1,3936,2.0799,13.3789,64
train,1,3968,2.0799,11.1328,64
train,1,4000,2.0794,12.207,64
train,1,4032,2.0806,10.9375,64
train,1,4064,2.0794,11.8164,64
train,1,4096,2.0801,11.8164,64
validation,1,4096,2.0795,12.72,64
train,1,4128,2.0806,9.9609,64
train,1,4160,2.0797,11.2305,64
train,1,4192,2.0798,11.4258,64
train,1,4224,2.0797,13.6719,64
train,1,4256,2.0803,11.3281,64
train,1,4288,2.0794,11.5234,64
train,1,4320,2.0789,12.793,64
train,1,4352,2.0793,12.0117,64
train,1,4384,2.0795,13.0859,64
train,1,4416,2.0799,12.1094,64
train,1,4448,2.0795,10.5469,64
train,1,4480,2.0799,12.1094,64
train,1,4512,2.0787,13.2812,64
train,1,4544,2.079,11.9141,64
train,1,4576,2.0801,11.2305,64
train,1,4608,2.0796,13.4766,64
validation,1,4608,2.0794,12.66,64
train,1,4640,2.0804,11.4258,64
train,1,4672,2.0793,12.6953,64
train,1,4704,2.0787,13.2812,64
train,1,4736,2.0794,13.3789,64
train,1,4768,2.08,12.793,64
